"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Clayton Kershaw",NA,"SP",14300,"LAD","@SF","66%",2.65,NA,NA,NA,NA,"32.8%",2.3,2.18,"L",0.212,0.23,"-1%","1%","0%",27.8,27.8,27.8,17.7,37.9,26,1.8,0,0
"Danny Duffy",NA,"SP",10400,"KC","@CWS","56%",3.5,NA,NA,NA,NA,"21.9%",4.01,4.17,"L",0.225,0.319,"3%","1%","0%",22,22,22,17.1,27,18.2,1.8,0,0
"Kyle Hendricks",1,"SP",10200,"CHC","@PIT","53%",3.63,NA,NA,NA,NA,"22.5%",3.57,3.45,"R",0.303,0.256,"0%","3%","0%",10.3,10.3,10.3,3.7,16.9,15.4,1.5,0,0
"Julio Teheran",NA,"SP",10000,"ATL","@NYM","45%",3.7,NA,NA,NA,NA,"21.0%",4.12,4.2,"R",0.343,0.253,"5%","4%","2%",13.3,13.3,13.3,1,25.7,16.8,1.7,0,0
"Rick Porcello",NA,"SP",9600,"BOS","NYY","56%",3.96,NA,NA,NA,NA,"20.8%",3.75,3.82,"R",0.32,0.306,"-3%","5%","3%",13.4,13.4,13.4,2.7,24.1,16.7,1.7,0,0
"Felix Hernandez",NA,"SP",9500,"SEA","@DET","52%",4.14,NA,NA,NA,NA,"21.0%",3.85,3.75,"R",0.284,0.294,"-2%","2%","0%",14.5,14.5,14.5,12.3,16.7,16.3,1.7,0,0
"Vincent Velasquez",NA,"SP",9300,"PHI","MIA","51%",3.72,NA,NA,NA,NA,"26.9%",3.67,3.83,"R",0.334,0.324,"1%","2%","0%",10.7,10.7,10.7,5.8,15.6,18,1.9,0,0
"Dallas Keuchel",NA,"SP",9200,"HOU","@CLE","53%",3.86,NA,NA,NA,NA,"22.3%",3.22,3.07,"L",0.258,0.295,"-6%","1%","0%",24.8,24.8,24.8,21.3,28.3,16.9,1.8,0,0
"Marco Estrada",NA,"SP",8800,"TOR","@STL","43%",4.02,NA,NA,NA,NA,"20.7%",4.43,4.76,"R",0.284,0.305,"4%","1%","0%",17.7,17.7,17.7,7.8,27.5,15.6,1.8,0,0
"Gerrit Cole",NA,"SP",8500,"PIT","CHC","47%",3.87,NA,NA,NA,NA,"22.2%",3.63,3.5,"R",0.309,0.289,"1%","2%","0%",12.5,12.5,12.5,3,21.9,17.1,2,0,0
"Luis Severino",NA,"SP",8300,"NYY","@BOS","44%",4.54,NA,NA,NA,NA,"23.2%",3.69,3.61,"R",0.307,0.334,"-5%","4%","3%",25.1,25.1,25.1,12.8,37.5,16.9,2,0,0
"Wei-Yin Chen",NA,"SP",7600,"MIA","@PHI","49%",3.78,NA,NA,NA,NA,"19.1%",4.06,4.11,"L",0.287,0.336,"1%","3%","0%",13.1,13.1,13.1,-1.3,27.4,14.5,1.9,0,0
"Ervin Santana",NA,"SP",7100,"MIN","@TEX","51%",4.47,NA,NA,NA,NA,"19.3%",4.33,4.27,"R",0.307,0.292,"-5%","0%","0%",26.4,26.4,26.4,14.5,38.4,14.3,2,0,0
"Robert Gsellman",NA,"SP",7000,"NYM","ATL","55%",3.3,NA,NA,NA,NA,"23.5%",3.56,3.28,"R",NA,0.331,"3%","4%","2%",10.8,10.8,10.8,1,20.7,15,2.1,0,0
"Wade Miley",NA,"SP",6900,"BAL","TB","57%",3.65,NA,NA,NA,NA,"19.1%",4.16,4,"L",0.306,0.336,"0%","3%","0%",25.5,25.5,25.5,15.5,35.5,15.3,2.2,0,0
"Michael Wacha",NA,"SP",6800,"STL","TOR","56%",3.48,NA,NA,NA,NA,"19.7%",4.14,3.95,"R",0.277,0.326,"1%","1%","0%",20.5,20.5,20.5,16.3,24.7,15.4,2.3,0,0
"Zach Davies",NA,"SP",6600,"MIL","CIN","54%",4.29,NA,NA,NA,NA,"19.1%",4.18,4.02,"R",0.32,0.32,"-1%","4%","1%",5.2,5.2,5.2,-3.8,14.2,14,2.1,0,0
"Jordan Zimmermann",NA,"SP",6400,"DET","SEA","48%",4.36,NA,NA,NA,NA,"17.7%",4.23,4.26,"R",0.312,0.294,"0%","2%","0%",8,8,8,-0.8,16.8,12.2,1.9,0,0
"Josh Tomlin",NA,"SP",6300,"CLE","HOU","47%",4.14,NA,NA,NA,NA,"17.7%",4.05,4.02,"R",0.28,0.362,"-4%","2%","0%",0.2,0.2,0.2,-13.9,14.4,11,1.7,0,0
"Scott Feldman",NA,"SP",6000,"CIN","@MIL","46%",4.71,NA,NA,NA,NA,"15.5%",4.29,4.11,"R",0.31,0.327,"-1%","5%","1%",16.2,16.2,16.2,7.8,24.6,12.9,2.1,0,0
"Ty Blach",NA,"RP",5600,"SF","LAD","34%",3.85,NA,NA,NA,NA,"",NA,NA,"L",NA,NA,"1%","2%","0%",0,0,0,0,0,12,2.1,0,0
"Jesse Hahn",NA,"SP",5500,"OAK","@LAA","44%",4.52,NA,NA,NA,NA,"14.7%",4.48,4.26,"R",0.332,0.263,"3%","2%","0%",18.3,18.3,18.3,16,20.6,11.6,2.1,0,0
"Andrew Cashner",NA,"SP",5400,"TEX","MIN","49%",4.53,NA,NA,NA,NA,"19.6%",4.35,4.21,"R",0.341,0.301,"-5%","0%","0%",10.3,10.3,10.3,3.1,17.4,9,1.7,0,0
"Joe Ross",NA,"SP",5300,"WAS","@COL","53%",5.59,NA,NA,NA,NA,"21.5%",3.86,3.72,"R",0.355,0.237,"-18%","8%","1%",23.6,23.6,23.6,23.6,23.6,13.4,2.5,0,0
"Clayton Richard",NA,"SP",5100,"SD","@ARI","43%",5.13,NA,NA,NA,NA,"13.6%",3.86,3.85,"L",0.269,0.349,"-11%","2%","0%",16.3,16.3,16.3,2.9,29.6,11.2,2.2,0,0
"Patrick Corbin",NA,"SP",5000,"ARI","SD","56%",4.37,NA,NA,NA,NA,"19.4%",4.08,3.94,"L",0.277,0.355,"-3%","1%","0%",11.9,11.9,11.9,2.2,21.6,12.9,2.6,0,0
"Erasmo Ramirez",NA,"SP",4400,"TB","@BAL","42%",4.35,NA,NA,NA,NA,"18.1%",3.94,4.03,"R",0.314,0.322,"-2%","3%","0%",22.1,22.1,22.1,22.1,22.1,13.9,3.2,0,0
"Dylan Covey",NA,"SP",4300,"CWS","KC","44%",4,NA,NA,NA,NA,"",NA,NA,"R",NA,NA,"2%","3%","0%",-1.4,-1.4,-1.4,-13.5,10.8,8.8,2,0,0
"German Marquez",NA,"SP",4200,"COL","WAS","47%",5.91,NA,NA,NA,NA,"",NA,NA,"R",NA,NA,"-10%","8%","1%",0,0,0,0,0,13.3,3.2,0,0
"J.C. Ramirez",1,"SP",4200,"LAA","OAK","56%",3.98,NA,NA,NA,NA,"17.8%",3.97,4.24,"R",0.314,0.339,"2%","2%","0%",11.7,11.7,11.7,0.3,23.1,13.6,3.2,0,0
